#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIET_sogdian_colony;Merchant Colony;;;;;;;;;;;;;x
VIET_sogdian_colony_desc;A sizeable colony of merchants from the Silk Road and their accompanying adventurers, warriors, nobles, farmers, and others dwell here, contributing to this province's economy.;;;;;;;;;;;;;x
sartapaw;Silk Road Trader;;;;;;;;;;;;;x
sartapaw_desc;This character is a well-known and important caravan leader, trader and traveller of the Silk Road. ;;;;;;;;;;;;;x
silkroad.1.desc;You have shown ability as a Sartapaw, a local Sogdian leader. Having managed the commercial and diplomatic issues of the community for years, you've gained much experience and insight. The Sogdians may no longer dominate the Silk Road like before, but your ability as a leader shows that the entrepreneurial and adventurous spirit of the Sogdian people endures.;;;;;;;;;;;;;x
silkroad.1.a;May the spirits of our forefathers guide us in these difficult times.;;;;;;;;;;;;;x
silkroad.2.desc;You have shown ability as a Sartapaw, a local Sogdian leader. Having managed the commercial and diplomatic issues of the community for years, you've gained much experience and insight. The Sogdians are beginning to prosper now that the Silk Road has revived, and your ability as a leader is a sign of the Sogdians' enduring entrepreneurial and adventurous spirit.;;;;;;;;;;;;;x
silkroad.2.a;May the Sogdian people prosper!;;;;;;;;;;;;;x
silkroad.3.name;A New merchant Colony;;;;;;;;;;;;;x
silkroad.3.desc;Shrewd and opportunistic merchants coming from the Silk Routes have settled in large numbers in [Root.GetName]. Not just merchants, but their accompanying farmers, warriors, noblemen, and other colonists bring along with them connections to the massive trade network that sustained the Silk Road. If this colony succeeds, it will bring us much profit and prosperity.;;;;;;;;;;;;;x
silkroad.3.a;Interesting.;;;;;;;;;;;;;x
silkroad.4.name;Merchant Colony in Decline;;;;;;;;;;;;;x
silkroad.4.desc;The Silk Road merchants in [Root.GetName] are beginning to desert their once prosperous colony in droves. It appears that this colony has failed, unable to bring profit to the greater network of traders. Perhaps this spells trouble for the mighty Silk Road!;;;;;;;;;;;;;x
silkroad.4.a;I see...;;;;;;;;;;;;;x
silkroad.6.desc;Great [Root.GetTitledName], hero, vanquisher, liberator, conqueror, mighty among all men - you have revived the Empire of Serindia. Driving out the barbaric warlords and invaders who have dominated the Sogdian homeland, you have proven that we Sogdians are not just cowards only good at commerce - we too, have a martial spirit! Sogdiana prevails!;;;;;;;;;;;;;x
silkroad.6.a;And now we can finally start making some real profits again...;;;;;;;;;;;;;x
silkroad.7.name;Triumph of the Merchant Race;;;;;;;;;;;;;x
silkroad.7.desc;Once the Silk Road began to decline, the Sogdians, who once dominated it, began to decline as well. Countless waves of invaders ranging from the Turks to the Arab Muslims trampled over the once-prosperous cities of Samarkand, Bukhara, and others. However, the great and accomplished [Root.GetFirstName] has made a name for [Root.GetHerselfHimself] by uniting many of the Sogdian principalities and cities under the Kingdom of Sogdiana.\n\nNow that Sogdiana is under centralized, stable leadership, it is likely that the Sogdian peoples might be able to reclaim their former glory not just in commercial matters, but military matters as well.;;;;;;;;;;;;;x
silkroad.7.a;It's time for us Sogdians to make some money!;;;;;;;;;;;;;x
silkroad.7.b;I see.;;;;;;;;;;;;;x
silkroad.8.name;The Sogdians Must Endure!;;;;;;;;;;;;;x
